,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamSize
111,0,3,female,14.5,1,0,14.4542,C,1
112,0,3,male,22.0,0,0,8.05,S,0
113,0,3,female,20.0,1,0,9.825,S,1
114,0,3,female,17.0,0,0,14.4583,C,0
115,0,3,male,21.0,0,0,7.925,S,0
116,0,3,male,70.5,0,0,7.75,Q,0
117,0,2,male,29.0,1,0,21.0,S,1
118,0,1,male,24.0,0,1,247.5208,C,1
119,0,3,female,2.0,4,2,31.275,S,6
120,0,2,male,21.0,2,0,73.5,S,2
122,0,2,male,32.5,1,0,30.0708,C,1
123,1,2,female,32.5,0,0,13.0,S,0
124,0,1,male,54.0,0,1,77.2875,S,1
125,1,3,male,12.0,1,0,11.2417,C,1
127,1,3,male,24.0,0,0,7.1417,S,0
129,0,3,male,45.0,0,0,6.975,S,0
130,0,3,male,33.0,0,0,7.8958,C,0
131,0,3,male,20.0,0,0,7.05,S,0
132,0,3,female,47.0,1,0,14.5,S,1
133,1,2,female,29.0,1,0,26.0,S,1
134,0,2,male,25.0,0,0,13.0,S,0
135,0,2,male,23.0,0,0,15.0458,C,0
136,1,1,female,19.0,0,2,26.2833,S,2
137,0,1,male,37.0,1,0,53.1,S,1
138,0,3,male,16.0,0,0,9.2167,S,0
139,0,1,male,24.0,0,0,79.2,C,0
141,1,3,female,22.0,0,0,7.75,S,0
142,1,3,female,24.0,1,0,15.85,S,1
143,0,3,male,19.0,0,0,6.75,Q,0
144,0,2,male,18.0,0,0,11.5,S,0
145,0,2,male,19.0,1,1,36.75,S,2
146,1,3,male,27.0,0,0,7.7958,S,0
147,0,3,female,9.0,2,2,34.375,S,4
148,0,2,male,36.5,0,2,26.0,S,2
149,0,2,male,42.0,0,0,13.0,S,0
150,0,2,male,51.0,0,0,12.525,S,0
151,1,1,female,22.0,1,0,66.6,S,1
152,0,3,male,55.5,0,0,8.05,S,0
153,0,3,male,40.5,0,2,14.5,S,2
155,0,1,male,51.0,0,1,61.3792,C,1
156,1,3,female,16.0,0,0,7.7333,Q,0
157,0,3,male,30.0,0,0,8.05,S,0
160,0,3,male,44.0,0,1,16.1,S,1
161,1,2,female,40.0,0,0,15.75,S,0
162,0,3,male,26.0,0,0,7.775,S,0
163,0,3,male,17.0,0,0,8.6625,S,0
164,0,3,male,1.0,4,1,39.6875,S,5
165,1,3,male,9.0,0,2,20.525,S,2
167,0,3,female,45.0,1,4,27.9,S,5
169,0,3,male,28.0,0,0,56.4958,S,0
170,0,1,male,61.0,0,0,33.5,S,0
171,0,3,male,4.0,4,1,29.125,Q,5
172,1,3,female,1.0,1,1,11.1333,S,2
173,0,3,male,21.0,0,0,7.925,S,0
174,0,1,male,56.0,0,0,30.6958,C,0
175,0,3,male,18.0,1,1,7.8542,S,2
177,0,1,female,50.0,0,0,28.7125,C,0
178,0,2,male,30.0,0,0,13.0,S,0
179,0,3,male,36.0,0,0,0.0,S,0
182,0,3,male,9.0,4,2,31.3875,S,6
183,1,2,male,1.0,2,1,39.0,S,3
184,1,3,female,4.0,0,2,22.025,S,2
187,1,1,male,45.0,0,0,26.55,S,0
188,0,3,male,40.0,1,1,15.5,Q,2
189,0,3,male,36.0,0,0,7.8958,S,0
190,1,2,female,32.0,0,0,13.0,S,0
191,0,2,male,19.0,0,0,13.0,S,0
192,1,3,female,19.0,1,0,7.8542,S,1
193,1,2,male,3.0,1,1,26.0,S,2
194,1,1,female,44.0,0,0,27.7208,C,0
195,1,1,female,58.0,0,0,146.5208,C,0
197,0,3,male,42.0,0,1,8.4042,S,1
199,0,2,female,24.0,0,0,13.0,S,0
200,0,3,male,28.0,0,0,9.5,S,0
202,0,3,male,34.0,0,0,6.4958,S,0
203,0,3,male,45.5,0,0,7.225,C,0
204,1,3,male,18.0,0,0,8.05,S,0
205,0,3,female,2.0,0,1,10.4625,S,1
206,0,3,male,32.0,1,0,15.85,S,1
207,1,3,male,26.0,0,0,18.7875,C,0
208,1,3,female,16.0,0,0,7.75,Q,0
209,1,1,male,40.0,0,0,31.0,C,0
210,0,3,male,24.0,0,0,7.05,S,0
211,1,2,female,35.0,0,0,21.0,S,0
212,0,3,male,22.0,0,0,7.25,S,0
213,0,2,male,30.0,0,0,13.0,S,0
215,1,1,female,31.0,1,0,113.275,C,1
216,1,3,female,27.0,0,0,7.925,S,0
217,0,2,male,42.0,1,0,27.0,S,1
218,1,1,female,32.0,0,0,76.2917,C,0
219,0,2,male,30.0,0,0,10.5,S,0
220,1,3,male,16.0,0,0,8.05,S,0
221,0,2,male,27.0,0,0,13.0,S,0
222,0,3,male,51.0,0,0,8.05,S,0
224,1,1,male,38.0,1,0,90.0,S,1
225,0,3,male,22.0,0,0,9.35,S,0
226,1,2,male,19.0,0,0,10.5,S,0
227,0,3,male,20.5,0,0,7.25,S,0
228,0,2,male,18.0,0,0,13.0,S,0
230,1,1,female,35.0,1,0,83.475,S,1
231,0,3,male,29.0,0,0,7.775,S,0
232,0,2,male,59.0,0,0,13.5,S,0
233,1,3,female,5.0,4,2,31.3875,S,6
234,0,2,male,24.0,0,0,10.5,S,0
236,0,2,male,44.0,1,0,26.0,S,1
237,1,2,female,8.0,0,2,26.25,S,2
238,0,2,male,19.0,0,0,10.5,S,0
239,0,2,male,33.0,0,0,12.275,S,0
242,0,2,male,29.0,0,0,10.5,S,0
243,0,3,male,22.0,0,0,7.125,S,0
244,0,3,male,30.0,0,0,7.225,C,0
245,0,1,male,44.0,2,0,90.0,Q,2
246,0,3,female,25.0,0,0,7.775,S,0
247,1,2,female,24.0,0,2,14.5,S,2
248,1,1,male,37.0,1,1,52.5542,S,2
249,0,2,male,54.0,1,0,26.0,S,1
251,0,3,female,29.0,1,1,10.4625,S,2
252,0,1,male,62.0,0,0,26.55,S,0
253,0,3,male,30.0,1,0,16.1,S,1
254,0,3,female,41.0,0,2,20.2125,S,2
255,1,3,female,29.0,0,2,15.2458,C,2
257,1,1,female,30.0,0,0,86.5,S,0
258,1,1,female,35.0,0,0,512.3292,C,0
259,1,2,female,50.0,0,1,26.0,S,1
261,1,3,male,3.0,4,2,31.3875,S,6
262,0,1,male,52.0,1,1,79.65,S,2
263,0,1,male,40.0,0,0,0.0,S,0
265,0,2,male,36.0,0,0,10.5,S,0
266,0,3,male,16.0,4,1,39.6875,S,5
267,1,3,male,25.0,1,0,7.775,S,1
268,1,1,female,58.0,0,1,153.4625,S,1
269,1,1,female,35.0,0,0,135.6333,S,0
271,1,3,male,25.0,0,0,0.0,S,0
272,1,2,female,41.0,0,1,19.5,S,1
273,0,1,male,37.0,0,1,29.7,C,1
275,1,1,female,63.0,1,0,77.9583,S,1
276,0,3,female,45.0,0,0,7.75,S,0
278,0,3,male,7.0,4,1,29.125,Q,5
279,1,3,female,35.0,1,1,20.25,S,2
280,0,3,male,65.0,0,0,7.75,Q,0
281,0,3,male,28.0,0,0,7.8542,S,0
282,0,3,male,16.0,0,0,9.5,S,0
283,1,3,male,19.0,0,0,8.05,S,0
285,0,3,male,33.0,0,0,8.6625,C,0
286,1,3,male,30.0,0,0,9.5,S,0
287,0,3,male,22.0,0,0,7.8958,S,0
288,1,2,male,42.0,0,0,13.0,S,0
289,1,3,female,22.0,0,0,7.75,Q,0
290,1,1,female,26.0,0,0,78.85,S,0
291,1,1,female,19.0,1,0,91.0792,C,1
292,0,2,male,36.0,0,0,12.875,C,0
293,0,3,female,24.0,0,0,8.85,S,0
294,0,3,male,24.0,0,0,7.8958,S,0
296,0,3,male,23.5,0,0,7.2292,C,0
297,0,1,female,2.0,1,2,151.55,S,3
299,1,1,female,50.0,0,1,247.5208,C,1
302,0,3,male,19.0,0,0,0.0,S,0
305,1,1,male,0.92,1,2,151.55,S,3
307,1,1,female,17.0,1,0,108.9,C,1
308,0,2,male,30.0,1,0,24.0,C,1
309,1,1,female,30.0,0,0,56.9292,C,0
310,1,1,female,24.0,0,0,83.1583,C,0
311,1,1,female,18.0,2,2,262.375,C,4
312,0,2,female,26.0,1,1,26.0,S,2
313,0,3,male,28.0,0,0,7.8958,S,0
314,0,2,male,43.0,1,1,26.25,S,2
315,1,3,female,26.0,0,0,7.8542,S,0
316,1,2,female,24.0,1,0,26.0,S,1
317,0,2,male,54.0,0,0,14.0,S,0
318,1,1,female,31.0,0,2,164.8667,S,2
319,1,1,female,40.0,1,1,134.5,C,2
320,0,3,male,22.0,0,0,7.25,S,0
321,0,3,male,27.0,0,0,7.8958,S,0
322,1,2,female,30.0,0,0,12.35,Q,0
323,1,2,female,22.0,1,1,29.0,S,2
325,1,1,female,36.0,0,0,135.6333,C,0
326,0,3,male,61.0,0,0,6.2375,S,0
327,1,2,female,36.0,0,0,13.0,S,0
328,1,3,female,31.0,1,1,20.525,S,2
329,1,1,female,16.0,0,1,57.9792,C,1
331,0,1,male,45.5,0,0,28.5,S,0
332,0,1,male,38.0,0,1,153.4625,S,1
333,0,3,male,16.0,2,0,18.0,S,2
336,0,1,male,29.0,1,0,66.6,S,1
337,1,1,female,41.0,0,0,134.5,C,0
338,1,3,male,45.0,0,0,8.05,S,0
339,0,1,male,45.0,0,0,35.5,S,0
340,1,2,male,2.0,1,1,26.0,S,2
341,1,1,female,24.0,3,2,263.0,S,5
342,0,2,male,28.0,0,0,13.0,S,0
343,0,2,male,25.0,0,0,13.0,S,0
344,0,2,male,36.0,0,0,13.0,S,0
345,1,2,female,24.0,0,0,13.0,S,0
346,1,2,female,40.0,0,0,13.0,S,0
348,1,3,male,3.0,1,1,15.9,S,2
349,0,3,male,42.0,0,0,8.6625,S,0
350,0,3,male,23.0,0,0,9.225,S,0
352,0,3,male,15.0,1,1,7.2292,C,2
353,0,3,male,25.0,1,0,17.8,S,1
355,0,3,male,28.0,0,0,9.5,S,0
356,1,1,female,22.0,0,1,55.0,S,1
357,0,2,female,38.0,0,0,13.0,S,0
360,0,3,male,40.0,1,4,27.9,S,5
361,0,2,male,29.0,1,0,27.7208,C,1
362,0,3,female,45.0,0,1,14.4542,C,1
363,0,3,male,35.0,0,0,7.05,S,0
365,0,3,male,30.0,0,0,7.25,S,0
366,1,1,female,60.0,1,0,75.25,C,1
369,1,1,female,24.0,0,0,69.3,C,0
370,1,1,male,25.0,1,0,55.4417,C,1
371,0,3,male,18.0,1,0,6.4958,S,1
372,0,3,male,19.0,0,0,8.05,S,0
373,0,1,male,22.0,0,0,135.6333,C,0
374,0,3,female,3.0,3,1,21.075,S,4
376,1,3,female,22.0,0,0,7.25,S,0
377,0,1,male,27.0,0,2,211.5,C,2
378,0,3,male,20.0,0,0,4.0125,C,0
379,0,3,male,19.0,0,0,7.775,S,0
380,1,1,female,42.0,0,0,227.525,C,0
381,1,3,female,1.0,0,2,15.7417,C,2
382,0,3,male,32.0,0,0,7.925,S,0
383,1,1,female,35.0,1,0,52.0,S,1
385,0,2,male,18.0,0,0,73.5,S,0
386,0,3,male,1.0,5,2,46.9,S,7
387,1,2,female,36.0,0,0,13.0,S,0
389,1,2,female,17.0,0,0,12.0,C,0
390,1,1,male,36.0,1,2,120.0,S,3
391,1,3,male,21.0,0,0,7.7958,S,0
392,0,3,male,28.0,2,0,7.925,S,2
393,1,1,female,23.0,1,0,113.275,C,1
394,1,3,female,24.0,0,2,16.7,S,2
395,0,3,male,22.0,0,0,7.7958,S,0
396,0,3,female,31.0,0,0,7.8542,S,0
397,0,2,male,46.0,0,0,26.0,S,0
398,0,2,male,23.0,0,0,10.5,S,0
399,1,2,female,28.0,0,0,12.65,S,0
400,1,3,male,39.0,0,0,7.925,S,0
401,0,3,male,26.0,0,0,8.05,S,0
402,0,3,female,21.0,1,0,9.825,S,1
403,0,3,male,28.0,1,0,15.85,S,1
404,0,3,female,20.0,0,0,8.6625,S,0
405,0,2,male,34.0,1,0,21.0,S,1
406,0,3,male,51.0,0,0,7.75,S,0
407,1,2,male,3.0,1,1,18.75,S,2
408,0,3,male,21.0,0,0,7.775,S,0
412,1,1,female,33.0,1,0,90.0,Q,1
414,1,3,male,44.0,0,0,7.925,S,0
416,1,2,female,34.0,1,1,32.5,S,2
417,1,2,female,18.0,0,2,13.0,S,2
418,0,2,male,30.0,0,0,13.0,S,0
419,0,3,female,10.0,0,2,24.15,S,2
421,0,3,male,21.0,0,0,7.7333,Q,0
422,0,3,male,29.0,0,0,7.875,S,0
423,0,3,female,28.0,1,1,14.4,S,2
424,0,3,male,18.0,1,1,20.2125,S,2
426,1,2,female,28.0,1,0,26.0,S,1
427,1,2,female,19.0,0,0,26.0,S,0
429,1,3,male,32.0,0,0,8.05,S,0
430,1,1,male,28.0,0,0,26.55,S,0
432,1,2,female,42.0,1,0,26.0,S,1
433,0,3,male,17.0,0,0,7.125,S,0
434,0,1,male,50.0,1,0,55.9,S,1
435,1,1,female,14.0,1,2,120.0,S,3
436,0,3,female,21.0,2,2,34.375,S,4
437,1,2,female,24.0,2,3,18.75,S,5
438,0,1,male,64.0,1,4,263.0,S,5
439,0,2,male,31.0,0,0,10.5,S,0
440,1,2,female,45.0,1,1,26.25,S,2
441,0,3,male,20.0,0,0,9.5,S,0
442,0,3,male,25.0,1,0,7.775,S,1
443,1,2,female,28.0,0,0,13.0,S,0
445,1,1,male,4.0,0,2,81.8583,S,2
446,1,2,female,13.0,0,1,19.5,S,1
447,1,1,male,34.0,0,0,26.55,S,0
448,1,3,female,5.0,2,1,19.2583,C,3
449,1,1,male,52.0,0,0,30.5,S,0
450,0,2,male,36.0,1,2,27.75,S,3
452,0,1,male,30.0,0,0,27.75,C,0
453,1,1,male,49.0,1,0,89.1042,C,1
455,1,3,male,29.0,0,0,7.8958,C,0
456,0,1,male,65.0,0,0,26.55,S,0
458,1,2,female,50.0,0,0,10.5,S,0
460,1,1,male,48.0,0,0,26.55,S,0
461,0,3,male,34.0,0,0,8.05,S,0
462,0,1,male,47.0,0,0,38.5,S,0
463,0,2,male,48.0,0,0,13.0,S,0
465,0,3,male,38.0,0,0,7.05,S,0
467,0,1,male,56.0,0,0,26.55,S,0
469,1,3,female,0.75,2,1,19.2583,C,3
471,0,3,male,38.0,0,0,8.6625,S,0
472,1,2,female,33.0,1,2,27.75,S,3
473,1,2,female,23.0,0,0,13.7917,C,0
474,0,3,female,22.0,0,0,9.8375,S,0
476,0,2,male,34.0,1,0,21.0,S,1
477,0,3,male,29.0,1,0,7.0458,S,1
478,0,3,male,22.0,0,0,7.5208,S,0
479,1,3,female,2.0,0,1,12.2875,S,1
480,0,3,male,9.0,5,2,46.9,S,7
482,0,3,male,50.0,0,0,8.05,S,0
483,1,3,female,63.0,0,0,9.5875,S,0
484,1,1,male,25.0,1,0,91.0792,C,1
486,1,1,female,35.0,1,0,90.0,S,1
487,0,1,male,58.0,0,0,29.7,C,0
488,0,3,male,30.0,0,0,8.05,S,0
489,1,3,male,9.0,1,1,15.9,S,2
491,0,3,male,21.0,0,0,7.25,S,0
492,0,1,male,55.0,0,0,30.5,S,0
493,0,1,male,71.0,0,0,49.5042,C,0
494,0,3,male,21.0,0,0,8.05,S,0
496,1,1,female,54.0,1,0,78.2667,C,1
498,0,1,female,25.0,1,2,151.55,S,3
499,0,3,male,24.0,0,0,7.7958,S,0
500,0,3,male,17.0,0,0,8.6625,S,0
501,0,3,female,21.0,0,0,7.75,Q,0
503,0,3,female,37.0,0,0,9.5875,S,0
504,1,1,female,16.0,0,0,86.5,S,0
505,0,1,male,18.0,1,0,108.9,C,1
506,1,2,female,33.0,0,2,26.0,S,2
508,0,3,male,28.0,0,0,22.525,S,0
509,1,3,male,26.0,0,0,56.4958,S,0
510,1,3,male,29.0,0,0,7.75,Q,0
512,1,1,male,36.0,0,0,26.2875,S,0
513,1,1,female,54.0,1,0,59.4,C,1
514,0,3,male,24.0,0,0,7.4958,S,0
515,0,1,male,47.0,0,0,34.0208,S,0
516,1,2,female,34.0,0,0,10.5,S,0
518,1,2,female,36.0,1,0,26.0,S,1
519,0,3,male,32.0,0,0,7.8958,S,0
520,1,1,female,30.0,0,0,93.5,S,0
521,0,3,male,22.0,0,0,7.8958,S,0
523,1,1,female,44.0,0,1,57.9792,C,1
525,0,3,male,40.5,0,0,7.75,Q,0
526,1,2,female,50.0,0,0,10.5,S,0
528,0,3,male,39.0,0,0,7.925,S,0
529,0,2,male,23.0,2,1,11.5,S,3
530,1,2,female,2.0,1,1,26.0,S,2
532,0,3,male,17.0,1,1,7.2292,C,2
534,0,3,female,30.0,0,0,8.6625,S,0
535,1,2,female,7.0,0,2,26.25,S,2
536,0,1,male,45.0,0,0,26.55,S,0
537,1,1,female,30.0,0,0,106.425,C,0
539,1,1,female,22.0,0,2,49.5,C,2
540,1,1,female,36.0,0,2,71.0,S,2
541,0,3,female,9.0,4,2,31.275,S,6
542,0,3,female,11.0,4,2,31.275,S,6
543,1,2,male,32.0,1,0,26.0,S,1
544,0,1,male,50.0,1,0,106.425,C,1
545,0,1,male,64.0,0,0,26.0,S,0
546,1,2,female,19.0,1,0,26.0,S,1
548,0,3,male,33.0,1,1,20.525,S,2
549,1,2,male,8.0,1,1,36.75,S,2
550,1,1,male,17.0,0,2,110.8833,C,2
551,0,2,male,27.0,0,0,26.0,S,0
553,1,3,male,22.0,0,0,7.225,C,0
554,1,3,female,22.0,0,0,7.775,S,0
555,0,1,male,62.0,0,0,26.55,S,0
556,1,1,female,48.0,1,0,39.6,C,1
558,1,1,female,39.0,1,1,79.65,S,2
559,1,3,female,36.0,1,0,17.4,S,1
561,0,3,male,40.0,0,0,7.8958,S,0
562,0,2,male,28.0,0,0,13.5,S,0
565,0,3,male,24.0,2,0,24.15,S,2
566,0,3,male,19.0,0,0,7.8958,S,0
567,0,3,female,29.0,0,4,21.075,S,4
569,1,3,male,32.0,0,0,7.8542,S,0
570,1,2,male,62.0,0,0,10.5,S,0
571,1,1,female,53.0,2,0,51.4792,S,2
572,1,1,male,36.0,0,0,26.3875,S,0
574,0,3,male,16.0,0,0,8.05,S,0
575,0,3,male,19.0,0,0,14.5,S,0
576,1,2,female,34.0,0,0,13.0,S,0
577,1,1,female,39.0,1,0,55.9,S,1
579,1,3,male,32.0,0,0,7.925,S,0
580,1,2,female,25.0,1,1,30.0,S,2
581,1,1,female,39.0,1,1,110.8833,C,2
582,0,2,male,54.0,0,0,26.0,S,0
583,0,1,male,36.0,0,0,40.125,C,0
585,1,1,female,18.0,0,2,79.65,S,2
586,0,2,male,47.0,0,0,15.0,S,0
587,1,1,male,60.0,1,1,79.2,C,2
588,0,3,male,22.0,0,0,8.05,S,0
590,0,3,male,35.0,0,0,7.125,S,0
591,1,1,female,52.0,1,0,78.2667,C,1
592,0,3,male,47.0,0,0,7.25,S,0
594,0,2,male,37.0,1,0,26.0,S,1
595,0,3,male,36.0,1,1,24.15,S,2
597,0,3,male,49.0,0,0,0.0,S,0
599,1,1,male,49.0,1,0,56.9292,C,1
600,1,2,female,24.0,2,1,27.0,S,3
603,0,3,male,44.0,0,0,8.05,S,0
604,1,1,male,35.0,0,0,26.55,C,0
605,0,3,male,36.0,1,0,15.55,S,1
606,0,3,male,30.0,0,0,7.8958,S,0
607,1,1,male,27.0,0,0,30.5,S,0
608,1,2,female,22.0,1,2,41.5792,C,3
609,1,1,female,40.0,0,0,153.4625,S,0
610,0,3,female,39.0,1,5,31.275,S,6
614,0,3,male,35.0,0,0,8.05,S,0
615,1,2,female,24.0,1,2,65.0,S,3
616,0,3,male,34.0,1,1,14.4,S,2
617,0,3,female,26.0,1,0,16.1,S,1
618,1,2,female,4.0,2,1,39.0,S,3
619,0,2,male,26.0,0,0,10.5,S,0
620,0,3,male,27.0,1,0,14.4542,C,1
621,1,1,male,42.0,1,0,52.5542,S,1
622,1,3,male,20.0,1,1,15.7417,C,2
623,0,3,male,21.0,0,0,7.8542,S,0
624,0,3,male,21.0,0,0,16.1,S,0
625,0,1,male,61.0,0,0,32.3208,S,0
626,0,2,male,57.0,0,0,12.35,Q,0
627,1,1,female,21.0,0,0,77.9583,S,0
628,0,3,male,26.0,0,0,7.8958,S,0
630,1,1,male,80.0,0,0,30.0,S,0
631,0,3,male,51.0,0,0,7.0542,S,0
632,1,1,male,32.0,0,0,30.5,C,0
634,0,3,female,9.0,3,2,27.9,S,5
635,1,2,female,28.0,0,0,13.0,S,0
636,0,3,male,32.0,0,0,7.925,S,0
637,0,2,male,31.0,1,1,26.25,S,2
638,0,3,female,41.0,0,5,39.6875,S,5
640,0,3,male,20.0,0,0,7.8542,S,0
641,1,1,female,24.0,0,0,69.3,C,0
642,0,3,female,2.0,3,2,27.9,S,5
644,1,3,female,0.75,2,1,19.2583,C,3
645,1,1,male,48.0,1,0,76.7292,C,1
646,0,3,male,19.0,0,0,7.8958,S,0
647,1,1,male,56.0,0,0,35.5,C,0
649,1,3,female,23.0,0,0,7.55,S,0
651,1,2,female,18.0,0,1,23.0,S,1
652,0,3,male,21.0,0,0,8.4333,S,0
654,0,3,female,18.0,0,0,6.75,Q,0
655,0,2,male,24.0,2,0,73.5,S,2
657,0,3,female,32.0,1,1,15.5,Q,2
658,0,2,male,23.0,0,0,13.0,S,0
659,0,1,male,58.0,0,2,113.275,C,2
660,1,1,male,50.0,2,0,133.65,S,2
661,0,3,male,40.0,0,0,7.225,C,0
662,0,1,male,47.0,0,0,25.5875,S,0
663,0,3,male,36.0,0,0,7.4958,S,0
664,1,3,male,20.0,1,0,7.925,S,1
665,0,2,male,32.0,2,0,73.5,S,2
666,0,2,male,25.0,0,0,13.0,S,0
668,0,3,male,43.0,0,0,8.05,S,0
670,1,2,female,40.0,1,1,39.0,S,2
671,0,1,male,31.0,1,0,52.0,S,1
672,0,2,male,70.0,0,0,10.5,S,0
673,1,2,male,31.0,0,0,13.0,S,0
675,0,3,male,18.0,0,0,7.775,S,0
676,0,3,male,24.5,0,0,8.05,S,0
677,1,3,female,18.0,0,0,9.8417,S,0
678,0,3,female,43.0,1,6,46.9,S,7
679,1,1,male,36.0,0,1,512.3292,C,1
681,1,1,male,27.0,0,0,76.7292,C,0
682,0,3,male,20.0,0,0,9.225,S,0
683,0,3,male,14.0,5,2,46.9,S,7
684,0,2,male,60.0,1,1,39.0,S,2
685,0,2,male,25.0,1,2,41.5792,C,3
686,0,3,male,14.0,4,1,39.6875,S,5
687,0,3,male,19.0,0,0,10.1708,S,0
688,0,3,male,18.0,0,0,7.7958,S,0
689,1,1,female,15.0,0,1,211.3375,S,1
690,1,1,male,31.0,1,0,57.0,S,1
691,1,3,female,4.0,0,1,13.4167,C,1
693,0,3,male,25.0,0,0,7.225,C,0
694,0,1,male,60.0,0,0,26.55,S,0
695,0,2,male,52.0,0,0,13.5,S,0
696,0,3,male,44.0,0,0,8.05,S,0
698,0,1,male,49.0,1,1,110.8833,C,2
699,0,3,male,42.0,0,0,7.65,S,0
700,1,1,female,18.0,1,0,227.525,C,1
701,1,1,male,35.0,0,0,26.2875,S,0
702,0,3,female,18.0,0,1,14.4542,C,1
703,0,3,male,25.0,0,0,7.7417,Q,0
704,0,3,male,26.0,1,0,7.8542,S,1
705,0,2,male,39.0,0,0,26.0,S,0
706,1,2,female,45.0,0,0,13.5,S,0
707,1,1,male,42.0,0,0,26.2875,S,0
708,1,1,female,22.0,0,0,151.55,S,0
710,1,1,female,24.0,0,0,49.5042,C,0
712,1,1,male,48.0,1,0,52.0,S,1
713,0,3,male,29.0,0,0,9.4833,S,0
714,0,2,male,52.0,0,0,13.0,S,0
715,0,3,male,19.0,0,0,7.65,S,0
716,1,1,female,38.0,0,0,227.525,C,0
717,1,2,female,27.0,0,0,10.5,S,0
719,0,3,male,33.0,0,0,7.775,S,0
